family_a	family_b	best_evalue
RF01852	RF03732	0.0024
RF01854	RF01856	1.4e-08
RF01854	RF01857	4.6e-21
RF01854	RF04183	0.0001
RF01855	RF01856	1.2e-32
RF01855	RF01857	2.3e-08
RF01855	RF03206	7.2e-09
RF01855	RF03406	0.0019
RF01856	RF01857	3.9e-12
RF01856	RF03631	0.0015
RF01856	RF03685	0.0039
RF01857	RF01916	0.0091
RF01857	RF03224	0.00011
RF01857	RF03349	0.0043
RF01857	RF03366	0.0011
RF01857	RF03594	0.0011
RF01857	RF03629	3.7e-06
RF01857	RF03677	0.0069
RF01857	RF03785	0.0094
RF01857	RF03906	1.8e-05
RF01857	RF03933	0.0069
RF01857	RF03941	0.0029
RF01857	RF04183	0.0008
RF01857	RF04198	1.3e-05
RF01858	RF02862	0.005
RF01858	RF03980	0.0085
RF01858	RF04170	0.0049
RF01858	RF04197	0.0064
RF01859	RF02075	0.0073
RF01859	RF02621	0.0081
RF01859	RF03313	0.00081
RF01859	RF03351	0.0058
RF01859	RF03394	0.0007
RF01859	RF03452	0.0023
RF01859	RF03496	8.9e-05
RF01859	RF03578	0.00057
RF01859	RF03616	0.0022
RF01859	RF03640	0.0022
RF01859	RF03641	0.00066
RF01859	RF03664	0.0073
RF01859	RF03719	0.0015
RF01859	RF03734	0.00038
RF01859	RF03834	0.0026
RF01859	RF03861	0.0027
RF01859	RF03872	2.1e-05
RF01859	RF03956	0.0051
RF01859	RF03983	0.0032
RF01859	RF04019	0.001
RF01859	RF04051	0.0044
RF01859	RF04066	0.00062
RF01859	RF04092	0.00058
RF01859	RF04099	0.00037
RF01859	RF04118	9.9e-06
RF01859	RF04133	0.0046
RF01859	RF04134	0.0012
RF01859	RF04150	0.0042
RF01859	RF04170	0.0073
RF01859	RF04174	0.0012
RF01859	RF04180	0.0006
RF01859	RF04202	0.0031
RF01859	RF04213	0.00018
RF01859	RF04240	0.00057
RF01859	RF04263	0.0013
RF01859	RF04265	0.00015
RF01863	RF03658	0.0035
RF01864	RF02287	0.0057
RF01864	RF02539	0.0024
RF01867	RF02353	0.0019
RF01867	RF03889	4.7e-05
RF01867	RF03994	0.0011
RF01881	RF03776	0.008
RF01881	RF04007	0.0066
RF01895	RF01996	2.8e-05
RF01895	RF03197	8.1e-05
RF01895	RF03293	2.8e-07
RF01895	RF03349	0.00014
RF01895	RF03356	0.0063
RF01895	RF03366	3e-07
RF01895	RF03371	0.0012
RF01895	RF03458	0.0022
RF01895	RF03497	5.2e-05
RF01895	RF03506	0.0029
RF01895	RF03558	0.0018
RF01895	RF03560	0.0036
RF01895	RF03572	9.7e-05
RF01895	RF03585	1e-05
RF01895	RF03594	0.00019
RF01895	RF03642	0.0014
RF01895	RF03723	0.0014
RF01895	RF03729	4.2e-05
RF01895	RF03768	0.0004
RF01895	RF03820	8.5e-05
RF01895	RF03872	0.00094
RF01895	RF03966	1.1e-05
RF01895	RF03980	1.1e-05
RF01895	RF03999	0.0042
RF01895	RF04049	9.3e-05
RF01895	RF04070	7.7e-06
RF01895	RF04077	1.1e-05
RF01895	RF04185	2e-05
RF01895	RF04254	1.6e-06
RF01895	RF04255	4e-05
RF01896	RF02238	0.0061
RF01896	RF03364	0.0088
RF01896	RF03498	0.0059
RF01896	RF03560	0.0028
RF01896	RF03637	0.00013
RF01896	RF03658	6.1e-06
RF01896	RF03705	0.0095
RF01896	RF03729	0.0065
RF01896	RF03765	0.0068
RF01896	RF03796	0.0094
RF01896	RF03812	0.005
RF01896	RF03941	2.7e-06
RF01896	RF04280	0.0062
RF01897	RF01903	0.00021
RF01897	RF02000	0.0004
RF01897	RF02092	1.8e-05
RF01897	RF02795	0.00027
RF01897	RF03191	4.1e-05
RF01897	RF03209	4.9e-06
RF01897	RF03219	0.00066
RF01897	RF03237	4.5e-05
RF01897	RF03249	0.0057
RF01897	RF03293	2.7e-05
RF01897	RF03302	0.0047
RF01897	RF03308	0.00017
RF01897	RF03329	5e-07
RF01897	RF03334	7.4e-05
RF01897	RF03340	3.9e-05
RF01897	RF03355	2.3e-08
RF01897	RF03363	0.0039
RF01897	RF03379	0.00042
RF01897	RF03383	5.4e-05
RF01897	RF03394	0.00028
RF01897	RF03406	1.1e-07
RF01897	RF03448	1.3e-05
RF01897	RF03488	7.3e-08
RF01897	RF03509	1.6e-07
RF01897	RF03512	2.5e-07
RF01897	RF03520	0.0001
RF01897	RF03574	2.2e-05
RF01897	RF03585	0.0075
RF01897	RF03610	0.0057
RF01897	RF03615	7e-05
RF01897	RF03627	1.2e-05
RF01897	RF03631	0.00049
RF01897	RF03666	5.1e-07
RF01897	RF03685	0.00094
RF01897	RF03739	0.00076
RF01897	RF03758	1e-05
RF01897	RF03763	0.0011
RF01897	RF03766	4.8e-05
RF01897	RF03776	0.00076
RF01897	RF03801	8.9e-06
RF01897	RF03802	1e-05
RF01897	RF03820	9.3e-05
RF01897	RF03831	0.00025
RF01897	RF03834	2.7e-06
RF01897	RF03837	6.2e-05
RF01897	RF03843	0.008
RF01897	RF03848	0.0023
RF01897	RF03849	0.0075
RF01897	RF03861	2.1e-07
RF01897	RF03862	7.4e-07
RF01897	RF03888	2e-07
RF01897	RF03889	0.0043
RF01897	RF03891	0.0047
RF01897	RF03894	7.7e-05
RF01897	RF03910	0.00092
RF01897	RF03923	0.0046
RF01897	RF03933	2.8e-07
RF01897	RF03941	1.2e-08
RF01897	RF03951	0.0004
RF01897	RF03952	2.4e-08
RF01897	RF03955	0.0014
RF01897	RF03965	0.00014
RF01897	RF03976	2.2e-05
RF01897	RF03983	0.00057
RF01897	RF04013	0.00011
RF01897	RF04017	7.7e-05
RF01897	RF04087	0.0017
RF01897	RF04096	1.9e-07
RF01897	RF04105	0.00027
RF01897	RF04123	7.8e-09
RF01897	RF04132	0.0039
RF01897	RF04159	1.6e-05
RF01897	RF04164	0.0014
RF01897	RF04176	2.7e-05
RF01897	RF04198	0.00049
RF01897	RF04202	4.6e-06
RF01897	RF04209	0.00016
RF01897	RF04240	5.1e-08
RF01897	RF04284	4.1e-06
RF01897	RF04285	1.7e-10
RF01898	RF01996	0.00066
RF01898	RF03244	0.0036
RF01898	RF03323	0.00016
RF01898	RF03574	0.00021
RF01898	RF03578	0.00049
RF01898	RF03585	0.00074
RF01898	RF03594	1.6e-05
RF01898	RF03634	0.00038
RF01898	RF03642	0.0082
RF01898	RF03645	0.0017
RF01898	RF03665	0.0041
RF01898	RF03693	0.00088
RF01898	RF03702	0.0019
RF01898	RF03916	0.00067
RF01898	RF04019	3.2e-05
RF01898	RF04095	0.0012
RF01898	RF04099	1.2e-05
RF01898	RF04105	0.005
RF01898	RF04111	6.4e-05
RF01898	RF04118	0.00023
RF01898	RF04125	0.0035
RF01898	RF04145	0.0033
RF01898	RF04201	0.0041
RF01898	RF04239	0.0027
RF01898	RF04249	0.0018
RF01898	RF04274	4.3e-05
RF01899	RF01941	0.0036
RF01899	RF03296	0.0019
RF01899	RF03460	0.00082
RF01899	RF03702	4.9e-05
RF01899	RF03762	0.002
RF01899	RF03784	3.5e-08
RF01899	RF03843	0.0021
RF01899	RF03937	0.00019
RF01899	RF04007	0.00049
RF01899	RF04081	0.0019
RF01899	RF04169	0.00049
RF01899	RF04211	0.0037
RF01899	RF04236	0.00035
RF01899	RF04239	0.0015
RF01900	RF03202	0.0067
RF01900	RF03244	0.0051
RF01900	RF03503	0.00086
RF01900	RF03728	0.00033
RF01900	RF03743	0.0059
RF01900	RF03923	0.00011
RF01900	RF03952	0.0032
RF01900	RF03976	0.00011
RF01901	RF03419	0.00011
RF01901	RF03424	1e-05
RF01901	RF03694	0.0039
RF01901	RF03716	0.0013
RF01901	RF03719	6.5e-05
RF01901	RF03756	0.00019
RF01901	RF03757	0.0074
RF01901	RF03785	0.0003
RF01901	RF03857	0.0013
RF01901	RF03862	0.0048
RF01901	RF03880	0.0047
RF01901	RF03906	7.2e-07
RF01901	RF04061	0.0011
RF01901	RF04236	0.00017
RF01901	RF04244	0.0046
RF01901	RF04254	0.00015
RF01901	RF04260	0.0018
RF01902	RF03193	0.0069
RF01902	RF03286	0.00072
RF01902	RF03361	0.0045
RF01902	RF03495	0.0012
RF01902	RF03596	0.00018
RF01902	RF03599	1.3e-06
RF01902	RF03669	1.1e-06
RF01902	RF03781	0.0034
RF01902	RF03820	8.8e-07
RF01902	RF03870	4.4e-05
RF01902	RF03970	0.0019
RF01902	RF04007	4e-07
RF01902	RF04038	0.003
RF01902	RF04099	0.002
RF01903	RF01923	0.00091
RF01903	RF03406	0.00096
RF01903	RF03935	1e-05
RF01903	RF04132	0.00034
RF01903	RF04173	0.01
RF01903	RF04240	0.00091
RF01903	RF04267	9.4e-16
RF01910	RF03216	6.3e-09
RF01910	RF03406	0.00084
RF01910	RF03452	0.00054
RF01910	RF03462	9.5e-05
RF01910	RF03489	2.2e-09
RF01910	RF03497	6.8e-09
RF01910	RF03621	0.0012
RF01910	RF03640	2.1e-08
RF01910	RF03642	1e-05
RF01910	RF03685	0.0032
RF01910	RF03697	1.9e-05
RF01910	RF03716	0.00022
RF01910	RF03734	0.0045
RF01910	RF03754	0.0064
RF01910	RF03769	5.9e-11
RF01910	RF03796	0.00074
RF01910	RF03834	0.00045
RF01910	RF03879	6.9e-10
RF01910	RF03880	7.4e-10
RF01910	RF03912	3.5e-11
RF01910	RF03951	1.4e-08
RF01910	RF03973	2.3e-06
RF01910	RF03987	6.1e-06
RF01910	RF04051	8.4e-08
RF01910	RF04066	5.6e-05
RF01910	RF04067	1.1e-06
RF01910	RF04096	3.5e-05
RF01910	RF04106	0.00082
RF01910	RF04132	3.3e-07
RF01910	RF04140	0.0023
RF01910	RF04151	3.2e-05
RF01910	RF04161	2e-05
RF01910	RF04176	3.4e-07
RF01910	RF04187	3e-05
RF01910	RF04239	1e-05
RF01910	RF04240	3.9e-05
RF01910	RF04252	1.8e-08
RF01911	RF01916	0.0012
RF01911	RF01943	0.0011
RF01911	RF02058	0.005
RF01911	RF02400	5.3e-16
RF01911	RF02409	0.00042
RF01911	RF03182	0.0027
RF01911	RF03187	0.0028
RF01911	RF03206	1.1e-05
RF01911	RF03308	0.00015
RF01911	RF03329	0.00031
RF01911	RF03338	4.9e-06
RF01911	RF03345	0.0035
RF01911	RF03349	0.008
RF01911	RF03356	0.00057
RF01911	RF03360	0.0036
RF01911	RF03371	0.0004
RF01911	RF03372	0.0072
RF01911	RF03413	2e-08
RF01911	RF03457	2.6e-06
RF01911	RF03458	0.0018
RF01911	RF03516	0.0047
RF01911	RF03519	0.0036
RF01911	RF03563	0.00028
RF01911	RF03583	0.0011
RF01911	RF03598	0.00029
RF01911	RF03629	0.00011
RF01911	RF03672	1.4e-05
RF01911	RF03703	1.7e-06
RF01911	RF03712	1.3e-07
RF01911	RF03714	0.00016
RF01911	RF03743	0.0076
RF01911	RF03744	2e-05
RF01911	RF03762	0.00056
RF01911	RF03769	0.0019
RF01911	RF03774	0.00053
RF01911	RF03777	9.4e-10
RF01911	RF03785	1.5e-05
RF01911	RF03792	1.7e-09
RF01911	RF03799	0.00016
RF01911	RF03818	0.0044
RF01911	RF03828	3e-06
RF01911	RF03831	0.0099
RF01911	RF03846	0.00014
RF01911	RF03859	0.0038
RF01911	RF03873	0.0033
RF01911	RF03964	1.7e-06
RF01911	RF03974	6.5e-05
RF01911	RF03980	0.0022
RF01911	RF03988	0.0023
RF01911	RF03993	0.0027
RF01911	RF04015	8.7e-05
RF01911	RF04059	0.00016
RF01911	RF04071	1.9e-06
RF01911	RF04102	1.6e-07
RF01911	RF04119	1.6e-09
RF01911	RF04120	8.9e-09
RF01911	RF04139	4e-07
RF01911	RF04145	0.0017
RF01911	RF04148	2.8e-07
RF01911	RF04157	0.001
RF01911	RF04159	5.7e-10
RF01911	RF04164	9e-07
RF01911	RF04171	7.5e-05
RF01911	RF04172	0.00011
RF01911	RF04173	4.7e-08
RF01911	RF04185	7e-05
RF01911	RF04199	1.1e-08
RF01911	RF04203	7e-10
RF01911	RF04205	4e-06
RF01911	RF04208	1.2e-05
RF01911	RF04210	2.1e-10
RF01911	RF04226	0.00023
RF01911	RF04279	0.0024
RF01912	RF03590	0.002
RF01912	RF03601	0.0013
RF01912	RF03694	0.0043
RF01912	RF03716	0.0078
RF01912	RF03957	0.0019
RF01913	RF01996	2.7e-06
RF01913	RF02021	0.00075
RF01913	RF03173	0.0011
RF01913	RF03244	0.0024
RF01913	RF03278	0.0088
RF01913	RF03323	3.9e-06
RF01913	RF03566	8e-06
RF01913	RF03578	0.00035
RF01913	RF03776	0.00049
RF01913	RF03818	2.6e-05
RF01913	RF04043	0.0025
RF01913	RF04051	0.0012
RF01913	RF04062	3.2e-06
RF01913	RF04235	0.0099
RF01913	RF04239	6.9e-06
RF01914	RF03278	0.0079
RF01914	RF03313	3.4e-05
RF01914	RF03454	0.0011
RF01914	RF03645	2.8e-06
RF01914	RF03672	1.7e-05
RF01914	RF03729	1.8e-05
RF01914	RF03795	0.0055
RF01914	RF03820	1.3e-05
RF01914	RF03835	0.0094
RF01914	RF03843	0.00024
RF01914	RF04172	0.0017
RF01915	RF02400	9.6e-06
RF01915	RF03174	9.7e-05
RF01915	RF03187	5.1e-08
RF01915	RF03201	0.00034
RF01915	RF03242	0.0026
RF01915	RF03251	0.00019
RF01915	RF03323	0.0032
RF01915	RF03335	0.0014
RF01915	RF03355	0.00042
RF01915	RF03498	1e-06
RF01915	RF03578	1.6e-06
RF01915	RF03641	7e-08
RF01915	RF03648	0.0033
RF01915	RF03658	3.1e-05
RF01915	RF03734	7.9e-05
RF01915	RF03760	0.00053
RF01915	RF03819	0.0058
RF01915	RF03834	0.00024
RF01915	RF03837	0.0012
RF01915	RF03872	7.9e-07
RF01915	RF03880	1.1e-06
RF01915	RF03888	0.00059
RF01915	RF04018	0.0058
RF01915	RF04019	1.8e-06
RF01915	RF04039	0.00022
RF01915	RF04068	2.4e-06
RF01915	RF04092	3.4e-07
RF01915	RF04099	1.2e-06
RF01915	RF04121	2.4e-05
RF01915	RF04132	1.3e-07
RF01915	RF04151	3.1e-07
RF01915	RF04154	0.0037
RF01915	RF04167	2.1e-06
RF01915	RF04204	0.0052
RF01915	RF04240	1.4e-07
RF01915	RF04265	1.6e-05
RF01915	RF04296	2.1e-06
RF01916	RF02020	0.00032
RF01916	RF03192	2.6e-05
RF01916	RF03202	0.00093
RF01916	RF03253	6.8e-05
RF01916	RF03284	0.0019
RF01916	RF03314	0.0097
RF01916	RF03327	1.7e-05
RF01916	RF03328	1e-07
RF01916	RF03331	7.7e-05
RF01916	RF03349	2.8e-08
RF01916	RF03355	0.0005
RF01916	RF03366	6.5e-06
RF01916	RF03372	1.8e-07
RF01916	RF03486	0.00014
RF01916	RF03557	2.1e-07
RF01916	RF03578	2.5e-08
RF01916	RF03590	1.6e-05
RF01916	RF03629	6.3e-08
RF01916	RF03634	5.1e-08
RF01916	RF03640	8.6e-05
RF01916	RF03642	1.6e-05
RF01916	RF03677	3.2e-06
RF01916	RF03697	1.1e-06
RF01916	RF03714	8.5e-12
RF01916	RF03717	7e-08
RF01916	RF03766	0.0022
RF01916	RF03774	5e-05
RF01916	RF03792	2.2e-05
RF01916	RF03831	2.1e-06
RF01916	RF03843	1e-05
RF01916	RF03879	0.001
RF01916	RF03894	2.7e-05
RF01916	RF03913	0.0014
RF01916	RF03952	0.0043
RF01916	RF03964	2.5e-08
RF01916	RF04019	3e-05
RF01916	RF04029	0.00064
RF01916	RF04049	2.2e-06
RF01916	RF04082	0.0001
RF01916	RF04087	0.0027
RF01916	RF04095	0.00024
RF01916	RF04113	3.7e-06
RF01916	RF04114	1.5e-07
RF01916	RF04119	6.2e-07
RF01916	RF04120	2.2e-05
RF01916	RF04138	1.8e-06
RF01916	RF04157	0.00032
RF01916	RF04164	3.7e-05
RF01916	RF04197	0.0054
RF01916	RF04249	0.00042
RF01916	RF04279	4e-06
RF01917	RF02570	0.00026
RF01917	RF03187	0.00019
RF01917	RF03335	7.9e-11
RF01917	RF03374	0.00016
RF01917	RF03413	1.1e-06
RF01917	RF03418	0.0016
RF01917	RF03674	0.0015
RF01917	RF03693	7e-08
RF01917	RF03702	0.00042
RF01917	RF03754	0.0014
RF01917	RF03812	2.8e-06
RF01917	RF03872	0.00046
RF01917	RF03888	0.00058
RF01917	RF03915	0.0038
RF01917	RF03941	1.1e-07
RF01917	RF04011	0.003
RF01917	RF04019	3.9e-07
RF01917	RF04026	1.1e-09
RF01917	RF04070	6.1e-05
RF01917	RF04140	2.3e-05
RF01917	RF04154	0.0013
RF01917	RF04203	4.5e-07
RF01917	RF04263	0.0069
RF01918	RF03191	8.9e-05
RF01918	RF03206	7.8e-05
RF01918	RF03237	4.4e-05
RF01918	RF03308	0.0011
RF01918	RF03329	7.2e-05
RF01918	RF03340	0.0002
RF01918	RF03349	0.0011
RF01918	RF03360	6.3e-05
RF01918	RF03366	0.0014
RF01918	RF03371	0.00044
RF01918	RF03373	0.00029
RF01918	RF03450	0.0031
RF01918	RF03458	2.6e-05
RF01918	RF03509	0.00082
RF01918	RF03516	0.00054
RF01918	RF03558	0.0016
RF01918	RF03594	2.1e-05
RF01918	RF03629	6.1e-05
RF01918	RF03703	1.8e-05
RF01918	RF03760	0.0074
RF01918	RF03774	0.002
RF01918	RF03778	1.9e-05
RF01918	RF03785	0.00046
RF01918	RF03792	0.00045
RF01918	RF03799	9.8e-05
RF01918	RF03819	0.0088
RF01918	RF03831	5e-05
RF01918	RF03859	0.00013
RF01918	RF03873	7.4e-05
RF01918	RF03891	0.001
RF01918	RF03894	0.00019
RF01918	RF03906	0.0028
RF01918	RF03952	5.4e-05
RF01918	RF03964	0.00062
RF01918	RF03973	0.00015
RF01918	RF03992	0.00021
RF01918	RF03993	0.0016
RF01918	RF04083	0.0017
RF01918	RF04102	0.0093
RF01918	RF04119	0.0001
RF01918	RF04123	0.0082
RF01918	RF04164	0.0005
RF01918	RF04202	0.009
RF01918	RF04203	0.00022
RF01918	RF04226	0.0019
RF01918	RF04268	0.0008
RF01919	RF03349	0.00027
RF01919	RF03459	3.2e-05
RF01919	RF03588	0.00035
RF01919	RF03604	1e-05
RF01919	RF03714	9.3e-06
RF01919	RF03739	0.00022
RF01919	RF04022	2.5e-05
RF01919	RF04113	4e-05
RF01920	RF01936	0.0012
RF01920	RF03175	0.00023
RF01920	RF03265	0.00021
RF01920	RF03351	2.6e-07
RF01920	RF03563	6.8e-06
RF01920	RF03615	2.3e-06
RF01920	RF03629	4.7e-06
RF01920	RF03642	5.2e-05
RF01920	RF03654	0.0012
RF01920	RF03769	7.1e-05
RF01920	RF03781	0.0015
RF01920	RF03877	0.0012
RF01920	RF03880	5.2e-07
RF01920	RF03960	0.0081
RF01920	RF03972	5.9e-05
RF01920	RF03986	9.8e-07
RF01920	RF04106	1.9e-06
RF01921	RF02556	2.3e-05
RF01921	RF03201	0.0005
RF01921	RF03237	0.0076
RF01921	RF03406	0.0007
RF01921	RF03452	0.00023
RF01921	RF03488	3.7e-05
RF01921	RF03594	3.2e-07
RF01921	RF03600	5.8e-05
RF01921	RF03633	0.00032
RF01921	RF03648	0.0082
RF01921	RF03666	0.00051
RF01921	RF03682	2.6e-06
RF01921	RF03736	0.00042
RF01921	RF03758	0.0032
RF01921	RF03763	0.00087
RF01921	RF03820	4.5e-05
RF01921	RF03849	0.0012
RF01921	RF03861	0.0094
RF01921	RF03863	0.00014
RF01921	RF03891	1.9e-05
RF01921	RF03906	2.1e-08
RF01921	RF03908	9.2e-08
RF01921	RF03933	0.0025
RF01921	RF03941	1.8e-05
RF01921	RF03952	0.00052
RF01921	RF04038	3.2e-08
RF01921	RF04076	0.00044
RF01921	RF04092	0.00015
RF01921	RF04096	1.3e-06
RF01921	RF04106	0.0002
RF01921	RF04121	1.9e-05
RF01921	RF04172	1.1e-05
RF01921	RF04176	9.2e-06
RF01921	RF04198	0.0038
RF01921	RF04202	0.0018
RF01921	RF04236	0.0024
RF01921	RF04240	0.00023
RF01921	RF04269	0.00022
RF01922	RF03206	2.7e-06
RF01922	RF03279	6.1e-06
RF01922	RF03324	5.6e-05
RF01922	RF03403	0.0021
RF01922	RF03679	0.001
RF01922	RF03694	4.9e-07
RF01922	RF03739	0.00052
RF01922	RF03774	8.1e-05
RF01922	RF03777	0.00027
RF01922	RF03792	0.00078
RF01922	RF03831	0.008
RF01922	RF03833	0.00034
RF01922	RF03852	3.5e-05
RF01922	RF03993	0.00042
RF01922	RF04148	0.0038
RF01922	RF04203	1.8e-05
RF01922	RF04279	4.2e-05
RF01922	RF04292	9.4e-08
RF01923	RF03406	9.1e-06
RF01923	RF03509	0.00029
RF01923	RF03658	0.0093
RF01923	RF03734	0.0019
RF01923	RF03837	5.8e-06
RF01923	RF03849	0.00066
RF01923	RF04038	0.009
RF01923	RF04162	0.0011
RF01924	RF03371	9.2e-05
RF01924	RF03604	0.0073
RF01924	RF03629	0.002
RF01924	RF03674	0.00032
RF01924	RF03719	0.0057
RF01924	RF03766	0.0069
RF01925	RF03209	0.0071
RF01925	RF03240	8.6e-07
RF01925	RF03256	0.00021
RF01925	RF03293	0.00041
RF01925	RF03302	4e-06
RF01925	RF03335	0.0045
RF01925	RF03424	1.7e-06
RF01925	RF03465	1.9e-05
RF01925	RF03484	2.1e-05
RF01925	RF03565	0.00019
RF01925	RF03582	0.0024
RF01925	RF03658	9.4e-11
RF01925	RF03681	1.6e-09
RF01925	RF03682	0.0035
RF01925	RF03726	0.0023
RF01925	RF03732	0.0005
RF01925	RF03766	7.1e-05
RF01925	RF03819	2.7e-05
RF01925	RF03877	7.3e-12
RF01925	RF03900	3.1e-08
RF01925	RF04011	7.3e-12
RF01925	RF04014	1.2e-05
RF01925	RF04029	0.0087
RF01925	RF04104	1.2e-05
RF01925	RF04118	4.8e-05
RF01925	RF04157	0.00024
RF01925	RF04230	0.0083
RF01925	RF04240	1.9e-07
RF01925	RF04245	0.002
RF01925	RF04255	0.00091
RF01925	RF04261	2.9e-06
RF01926	RF03278	0.0025
RF01926	RF03323	0.00019
RF01926	RF03373	4.2e-05
RF01926	RF03557	1.2e-05
RF01926	RF03578	6.1e-06
RF01926	RF03585	2.6e-07
RF01926	RF03592	0.00016
RF01926	RF03641	0.0038
RF01926	RF03645	5.8e-08
RF01926	RF03672	3e-07
RF01926	RF03719	4.5e-07
RF01926	RF03743	0.00044
RF01926	RF03820	1.1e-05
RF01926	RF03872	0.0019
RF01926	RF03966	1.1e-09
RF01926	RF03992	0.0033
RF01926	RF04051	0.0094
RF01926	RF04062	0.00039
RF01926	RF04118	1.1e-05
RF01926	RF04151	1.3e-05
RF01926	RF04262	3.8e-06
RF01927	RF02723	9.1e-07
RF01927	RF02862	1e-05
RF01927	RF03187	2.6e-09
RF01927	RF03193	0.00017
RF01927	RF03323	6.9e-05
RF01927	RF03335	4.9e-06
RF01927	RF03359	0.00024
RF01927	RF03403	0.0012
RF01927	RF03410	9.1e-05
RF01927	RF03419	0.0037
RF01927	RF03452	1.2e-05
RF01927	RF03487	0.0021
RF01927	RF03577	1.9e-05
RF01927	RF03578	7.7e-13
RF01927	RF03585	0.0012
RF01927	RF03589	0.00015
RF01927	RF03590	2.7e-05
RF01927	RF03615	0.0012
RF01927	RF03621	0.00023
RF01927	RF03631	1.8e-11
RF01927	RF03692	0.00032
RF01927	RF03702	6.5e-07
RF01927	RF03705	0.0031
RF01927	RF03716	1.7e-06
RF01927	RF03776	0.00076
RF01927	RF03786	9.1e-07
RF01927	RF03793	0.00064
RF01927	RF03795	8.8e-11
RF01927	RF03796	4.7e-10
RF01927	RF03808	0.0022
RF01927	RF03846	0.00099
RF01927	RF03888	0.0058
RF01927	RF03916	2e-06
RF01927	RF03982	0.00028
RF01927	RF04003	1.1e-05
RF01927	RF04052	1.8e-06
RF01927	RF04069	3.5e-05
RF01927	RF04095	2.8e-05
RF01927	RF04116	2.1e-08
RF01927	RF04145	1.1e-05
RF01927	RF04184	0.0033
RF01927	RF04259	0.00042
RF01936	RF01997	3.6e-05
RF01936	RF02021	3e-12
RF01936	RF02094	4.3e-08
RF01936	RF02244	0.00029
RF01936	RF02245	0.00029
RF01936	RF02516	5e-10
RF01936	RF03172	0.0013
RF01936	RF03174	0.003
RF01936	RF03175	0.0023
RF01936	RF03187	7.6e-06
RF01936	RF03193	4.3e-07
RF01936	RF03203	0.0036
RF01936	RF03206	1.5e-07
RF01936	RF03208	8.4e-08
RF01936	RF03216	0.00019
RF01936	RF03237	4.5e-06
RF01936	RF03238	0.0005
RF01936	RF03244	1.6e-09
RF01936	RF03251	3.5e-05
RF01936	RF03257	0.00016
RF01936	RF03259	0.00012
RF01936	RF03311	3.7e-07
RF01936	RF03316	0.00021
RF01936	RF03327	4.9e-09
RF01936	RF03344	6.5e-07
RF01936	RF03348	0.0023
RF01936	RF03351	7e-07
RF01936	RF03384	0.0041
RF01936	RF03387	7e-06
RF01936	RF03401	3.9e-08
RF01936	RF03404	0.00019
RF01936	RF03410	4.8e-06
RF01936	RF03411	0.005
RF01936	RF03412	9.2e-05
RF01936	RF03419	3.3e-07
RF01936	RF03424	3e-06
RF01936	RF03440	6.1e-05
RF01936	RF03444	1.5e-07
RF01936	RF03453	0.0085
RF01936	RF03454	2.4e-06
RF01936	RF03470	0.0014
RF01936	RF03476	0.0012
RF01936	RF03477	2.1e-05
RF01936	RF03479	6.6e-05
RF01936	RF03480	8e-07
RF01936	RF03483	0.00029
RF01936	RF03494	0.00047
RF01936	RF03498	7.2e-09
RF01936	RF03501	2.2e-08
RF01936	RF03511	1.1e-09
RF01936	RF03567	0.0007
RF01936	RF03568	2.6e-06
RF01936	RF03577	6.1e-05
RF01936	RF03601	3.8e-10
RF01936	RF03604	1.8e-07
RF01936	RF03621	7.1e-10
RF01936	RF03634	2.7e-07
RF01936	RF03641	1.1e-08
RF01936	RF03645	3.9e-11
RF01936	RF03650	0.0087
RF01936	RF03651	0.00012
RF01936	RF03676	0.00057
RF01936	RF03679	0.0024
RF01936	RF03681	1e-12
RF01936	RF03687	3.8e-07
RF01936	RF03689	0.0023
RF01936	RF03691	4e-07
RF01936	RF03718	0.0015
RF01936	RF03720	0.00011
RF01936	RF03726	0.00012
RF01936	RF03728	8e-06
RF01936	RF03736	3.7e-12
RF01936	RF03743	5.6e-08
RF01936	RF03751	1.2e-05
RF01936	RF03762	0.00018
RF01936	RF03763	4e-07
RF01936	RF03769	5.2e-06
RF01936	RF03788	2e-05
RF01936	RF03795	3.3e-09
RF01936	RF03800	1e-05
RF01936	RF03801	0.00082
RF01936	RF03812	0.00018
RF01936	RF03820	1.4e-07
RF01936	RF03839	4.2e-05
RF01936	RF03849	5.4e-06
RF01936	RF03862	0.00013
RF01936	RF03880	2e-09
RF01936	RF03923	0.0028
RF01936	RF03924	0.0025
RF01936	RF03926	0.00011
RF01936	RF03927	1.6e-11
RF01936	RF03933	4.5e-08
RF01936	RF03951	3.2e-06
RF01936	RF03953	0.0028
RF01936	RF03954	3.2e-05
RF01936	RF03955	2.1e-10
RF01936	RF03968	3.7e-05
RF01936	RF03981	0.0016
RF01936	RF03983	4.4e-12
RF01936	RF03986	8.9e-06
RF01936	RF04010	0.00042
RF01936	RF04014	3.2e-07
RF01936	RF04024	1.2e-06
RF01936	RF04041	0.00014
RF01936	RF04043	0.00033
RF01936	RF04052	4.1e-05
RF01936	RF04062	0.0092
RF01936	RF04063	3.1e-05
RF01936	RF04065	1e-05
RF01936	RF04066	0.00019
RF01936	RF04071	7.9e-09
RF01936	RF04077	1.1e-08
RF01936	RF04079	1.9e-09
RF01936	RF04090	0.0011
RF01936	RF04094	1.2e-08
RF01936	RF04096	5.6e-11
RF01936	RF04099	1e-11
RF01936	RF04106	1.7e-07
RF01936	RF04109	3.8e-05
