family	split	n_sequences
RF03267	train	3
RF03268	train	9
RF03269	train	19
RF03271	train	27
RF03272	train	68
RF03274	train	14
RF03275	train	7
RF03276	train	2
RF03277	train	14
RF03278	train	100
RF03279	train	70
RF03280	train	34
RF03281	val	4
RF03283	train	13
RF03284	train	12
RF03285	train	8
RF03286	train	16
RF03287	train	15
RF03288	train	62
RF03289	train	9
RF03290	train	30
RF03291	train	12
RF03292	train	49
RF03293	train	45
RF03294	train	2
RF03295	train	5
RF03296	train	29
RF03297	train	19
RF03298	train	7
RF03299	train	115
RF03300	train	3
RF03301	train	74
RF03302	train	13
RF03303	train	13
RF03304	train	150
RF03305	train	18
RF03306	train	26
RF03307	train	9
RF03308	train	25
RF03309	train	9
RF03310	train	14
RF03311	train	28
RF03312	train	3
RF03313	train	78
RF03314	train	9
RF03315	train	78
RF03316	train	21
RF03317	train	3
RF03318	train	2
RF03319	train	51
RF03321	train	10
RF03322	train	50
RF03323	train	78
RF03324	train	10
RF03325	train	68
RF03326	train	4
RF03327	train	24
RF03328	train	50
RF03329	train	29
RF03330	train	30
RF03331	train	12
RF03332	train	4
RF03333	train	23
RF03334	train	19
RF03335	train	43
RF03336	train	13
RF03337	train	6
RF03338	train	12
RF03339	train	21
RF03340	train	12
RF03341	train	5
RF03342	train	128
RF03343	train	3
RF03344	train	7
RF03345	train	20
RF03346	train	4
RF03347	train	46
RF03348	train	3
RF03349	train	42
RF03350	train	6
RF03351	train	16
RF03352	train	3
RF03353	train	139
RF03354	train	85
RF03355	train	9
RF03356	train	43
RF03357	train	22
RF03358	train	3
RF03359	train	74
RF03360	train	131
RF03361	train	12
RF03362	train	23
RF03363	train	4
RF03364	train	22
RF03366	train	144
RF03367	train	3
RF03368	val	5
RF03369	train	9
RF03370	train	10
RF03371	train	84
RF03372	train	11
RF03373	train	16
RF03374	train	14
RF03375	train	33
RF03376	train	3
RF03377	train	3
RF03378	train	117
RF03379	train	49
RF03380	train	7
RF03381	train	90
RF03382	train	2
RF03383	train	8
RF03384	train	20
RF03385	train	4
RF03386	train	23
RF03387	train	634
RF03388	test	4
RF03389	train	12
RF03390	train	40
RF03391	train	7
RF03392	train	11
RF03393	train	3
RF03394	train	90
RF03395	train	40
RF03396	train	11
RF03397	train	11
RF03398	train	5
RF03399	train	6
RF03400	train	118
RF03401	train	2
RF03402	train	22
RF03403	train	50
RF03404	train	72
RF03405	train	33
RF03406	train	30
RF03407	train	67
RF03408	train	36
RF03409	train	4
RF03410	train	6
RF03411	train	17
RF03412	train	3
RF03413	train	11
RF03414	train	63
RF03416	train	4
RF03417	train	3
RF03418	train	16
RF03419	train	74
RF03420	train	17
RF03421	train	7
RF03422	train	5
RF03423	train	10
RF03424	train	18
RF03425	train	3
RF03426	train	130
RF03427	train	3
RF03428	train	7
RF03429	train	1
RF03430	train	29
RF03431	train	25
RF03432	train	3
RF03433	train	43
RF03434	train	9
RF03435	train	97
RF03436	train	48
RF03437	train	13
RF03438	train	2
RF03439	train	264
RF03440	train	10
RF03441	train	3
RF03442	train	6
RF03443	train	127
RF03444	train	11
RF03445	train	134
RF03447	train	14
RF03448	train	23
RF03449	train	12
RF03450	train	36
RF03451	train	9
RF03452	train	13
RF03453	train	5
RF03454	train	24
RF03455	val	3
RF03456	train	55
RF03457	train	191
RF03458	train	21
RF03459	train	23
RF03460	train	75
RF03461	train	10
RF03462	train	12
RF03463	train	5
RF03464	train	16
RF03465	train	211
RF03466	train	96
RF03467	train	16
RF03468	train	48
RF03469	train	42
RF03470	train	121
RF03471	train	24
RF03472	train	14
RF03473	train	208
RF03474	train	18
RF03475	train	21
RF03476	train	11
RF03477	train	26
RF03478	train	10
RF03479	train	28
RF03480	train	63
RF03481	train	436
RF03482	train	10
RF03483	train	138
RF03484	train	1
RF03485	train	5
RF03486	train	11
RF03487	train	14
RF03488	train	21
RF03489	train	22
RF03490	train	220
RF03491	train	12
RF03492	train	5
RF03493	train	25
RF03494	train	65
RF03495	train	7
RF03496	train	12
RF03497	train	6
RF03498	train	51
RF03499	train	6
RF03500	train	11
RF03501	train	23
RF03502	train	9
RF03503	train	8
RF03504	train	5
RF03505	train	12
RF03506	train	45
RF03507	train	11
RF03508	train	60
RF03509	train	29
RF03510	train	73
RF03511	train	14
RF03512	train	14
RF03514	train	4
RF03516	train	25
RF03517	train	49
RF03518	train	17
RF03519	train	7
RF03520	train	5
RF03521	test	12
RF03522	train	7
RF03523	train	34
RF03524	train	10
RF03525	train	128
RF03526	train	33
RF03527	train	6
RF03528	train	42
RF03530	train	50
RF03531	test	2914
RF03532	train	109
RF03533	train	17
RF03534	train	3
RF03535	val	10
RF03540	train	1
RF03545	train	13
RF03548	train	8
RF03549	train	2
RF03550	train	5
RF03552	train	1
RF03553	train	5
RF03554	train	3
RF03555	train	5
RF03556	train	26
RF03557	train	12
RF03558	train	48
RF03559	train	2
RF03560	train	127
RF03561	train	111
RF03562	train	3
RF03563	train	3
RF03564	train	11
RF03565	train	25
RF03566	train	11
RF03567	train	641
RF03568	train	21
RF03569	train	19
RF03570	val	11
RF03571	train	9
RF03572	train	21
RF03573	train	91
RF03574	train	5
RF03575	train	4
RF03576	test	15
RF03577	train	5657
RF03578	train	215
RF03579	train	7
RF03580	val	10
RF03581	train	3
RF03582	train	2
RF03583	train	36
RF03584	train	22
RF03585	train	55
RF03586	train	2
RF03587	train	7
RF03588	train	123
RF03589	train	5
RF03590	train	26
RF03591	train	5
RF03592	train	8
RF03593	train	3
RF03594	train	35
RF03595	train	3
RF03596	train	187
RF03597	train	9
RF03598	train	45
RF03599	train	34
RF03600	train	79
RF03601	train	52
RF03602	train	3
RF03603	train	7
RF03604	train	11
RF03605	train	3
RF03606	train	1
RF03607	train	143
RF03608	val	146
RF03609	train	5
RF03610	train	2
RF03611	train	1
RF03612	train	9
RF03613	train	123
RF03614	train	7
RF03615	train	6
RF03616	train	123
RF03617	train	16
RF03618	train	6
RF03619	train	8
RF03620	train	160
RF03621	train	3
RF03622	train	74
RF03623	train	22
RF03625	val	4235
RF03626	train	2
RF03627	train	4
RF03628	train	49
RF03629	train	124
RF03630	train	22
RF03631	train	23
RF03632	train	312
RF03633	train	177
RF03634	train	213
RF03635	train	2
RF03636	train	10
RF03637	train	59
RF03638	train	42
RF03639	train	10
RF03640	train	33
RF03641	train	6
RF03642	train	37
RF03643	train	5
RF03644	train	3
RF03645	train	10
RF03646	train	5
RF03647	train	3
RF03648	train	11
RF03649	train	33
RF03650	train	49
RF03651	train	1
RF03652	train	63
RF03653	train	86
RF03654	train	53
RF03655	train	2
RF03656	train	3
RF03657	train	42
RF03658	train	107
RF03659	train	10
RF03660	train	2
RF03661	train	8
RF03662	train	3615
RF03663	train	2
RF03664	train	333
RF03665	train	101
RF03666	train	6
RF03667	train	4
RF03668	train	280
RF03669	train	29
RF03670	train	3
RF03671	train	5
RF03672	train	24
RF03673	train	56
RF03674	train	674
RF03675	train	4
RF03676	train	141
RF03677	train	117
RF03678	train	9
RF03679	train	64
RF03680	train	7
RF03681	train	9
RF03682	train	11
RF03683	train	1
RF03684	train	40
RF03685	train	29
RF03686	train	52
RF03687	train	6
RF03688	train	3
RF03689	train	11
RF03690	val	999
RF03691	train	96
RF03692	train	50
RF03693	train	21
RF03694	train	42
RF03695	train	583
RF03696	train	3
RF03697	train	74
RF03698	train	45
RF03699	train	35
RF03700	train	153
RF03701	train	6
RF03702	train	17
RF03703	train	258
RF03704	train	53
RF03705	train	41
RF03706	train	7
RF03707	train	7
RF03709	train	30
RF03710	train	249
RF03711	train	3
RF03712	train	70
RF03713	train	14
RF03714	train	28
RF03715	train	3
RF03716	train	53
RF03717	train	121
RF03718	train	35
RF03719	train	67
RF03720	train	3
RF03721	train	14
RF03722	train	9
RF03723	train	25
RF03724	train	4
RF03725	train	2
RF03726	train	5
RF03727	train	7
RF03728	train	7
RF03729	train	30
RF03730	train	4
RF03731	train	11
RF03732	train	7
RF03733	train	2
RF03734	train	126
RF03735	train	2
RF03736	train	65
RF03737	train	2
RF03738	train	7
RF03739	train	33
RF03740	test	8
RF03741	train	42
RF03742	train	6
RF03743	train	58
RF03744	train	1
RF03745	train	2
RF03746	train	5
RF03747	train	68
RF03748	train	3
RF03749	train	919
RF03750	train	2
RF03751	train	23
RF03752	train	82
RF03753	train	6
RF03754	train	77
RF03755	train	2
RF03756	train	22
RF03757	train	85
RF03758	train	58
RF03759	train	90
RF03760	train	85
RF03761	train	1
RF03762	train	7
RF03763	train	5
RF03764	train	9
RF03765	train	10
RF03766	train	42
RF03767	train	10
RF03768	train	78
RF03769	train	161
RF03770	train	4
RF03771	train	117
RF03772	test	2
RF03773	train	3
RF03774	train	6
RF03775	train	8
RF03776	train	17
RF03777	train	151
RF03778	train	71
RF03779	train	72
RF03780	train	197
RF03781	train	87
RF03782	train	82
RF03783	train	9
RF03784	train	7
RF03785	train	4
RF03786	train	4
RF03787	train	2
RF03788	train	84
RF03789	train	374
RF03790	train	245
RF03791	train	3
RF03792	train	136
RF03793	train	3
RF03794	train	237
RF03795	train	9
RF03796	train	59
RF03797	train	1
RF03798	train	8
RF03799	train	155
RF03800	train	123
RF03801	train	3
RF03802	train	26
RF03803	train	794
RF03804	train	6
RF03805	train	1
RF03806	train	1
RF03807	train	3
RF03808	train	17
RF03809	train	11
RF03810	val	7
RF03811	train	2
RF03812	train	5
RF03813	train	181
RF03814	train	12
RF03815	train	2
RF03816	train	52
RF03817	train	4
RF03818	train	91
RF03819	train	19
RF03820	train	16
RF03821	train	1
RF03822	train	12
RF03823	train	6
RF03824	train	86
RF03825	train	5
RF03826	train	8
RF03827	train	7
RF03828	train	7
RF03829	train	18
RF03830	train	1
RF03831	train	270
RF03832	train	5
RF03833	train	1607
RF03834	train	75
RF03835	train	13
RF03836	train	7
RF03837	train	21
RF03838	test	14
RF03839	train	93
RF03840	train	52
RF03841	train	30
RF03842	train	172
RF03843	train	85
RF03844	train	514
RF03845	train	18
RF03846	train	58
RF03847	train	8
RF03848	train	2
RF03849	train	47
RF03850	train	2
RF03851	train	21
RF03852	train	20
RF03853	train	2
RF03854	train	3
RF03855	train	13
RF03856	train	5
RF03857	train	21
RF03858	train	8
RF03859	train	14
RF03860	train	869
RF03861	train	31
RF03862	train	18
RF03863	train	41
RF03864	train	4
RF03865	train	2
RF03866	train	3
RF03867	train	2
RF03868	train	2
RF03869	train	150
RF03870	train	14
RF03871	train	74
RF03872	train	583
RF03873	train	15
RF03874	train	9078
RF03875	train	242
RF03876	train	17
RF03877	train	44
RF03878	train	1
RF03879	train	59
RF03880	train	83
RF03881	train	5
RF03882	train	7
RF03883	train	18569
RF03884	train	10
RF03885	train	2
RF03886	train	5
RF03887	train	3
RF03888	train	61
RF03889	train	167
RF03890	train	1
RF03891	train	47
RF03892	train	2
RF03893	train	2
RF03894	train	31
RF03895	val	14
RF03896	train	629
RF03897	train	3
RF03898	train	2
RF03899	train	2
RF03900	train	905
RF03901	train	2
RF03902	train	3
RF03903	train	3
RF03904	train	144
RF03905	train	3
RF03906	train	46
RF03907	train	8
RF03908	train	91
RF03909	train	2
RF03910	train	2
RF03911	train	15
RF03912	train	120
RF03913	train	6
RF03914	train	4
RF03915	train	174
RF03916	train	12
RF03917	train	17
RF03918	train	2
RF03919	train	1
RF03920	train	6
RF03921	train	14
RF03922	train	17
RF03923	train	4
RF03924	train	11
RF03925	train	6
RF03926	train	1428
RF03927	train	5
RF03929	train	4
RF03930	train	10
RF03931	train	2
RF03932	train	46
RF03933	train	11
RF03934	train	2
RF03935	train	76
RF03936	train	12
RF03937	train	42
RF03938	train	38
RF03939	train	9
RF03940	train	2833
RF03941	train	181
RF03942	train	4
RF03943	train	2
RF03944	train	11
RF03945	train	3
RF03946	train	7
RF03947	train	38
RF03948	train	1
RF03949	train	17
RF03950	train	3
RF03951	train	29
RF03952	train	353
RF03953	train	6
RF03954	train	5
RF03955	train	17
RF03956	train	151
RF03957	train	67
RF03958	train	12
RF03959	train	3
RF03960	train	23
RF03961	train	2
RF03962	train	15
RF03963	test	3
RF03964	train	94
RF03965	train	4
RF03966	train	8
RF03967	train	39
RF03968	train	2
RF03969	train	240
RF03970	train	25
RF03971	train	3
RF03972	train	45
RF03973	train	36
RF03974	train	6
RF03975	train	387
RF03976	train	8
RF03977	train	3
RF03978	train	7
RF03979	train	10
RF03980	train	26
RF03981	train	11499
RF03982	train	3
RF03983	train	152
RF03984	train	15
RF03985	train	3
RF03986	train	7
RF03987	train	9
RF03988	train	13
RF03989	train	2
RF03990	train	1
RF03991	train	208
RF03992	train	44
RF03993	train	48
RF03994	train	3
RF03995	train	8
RF03996	train	4
RF03997	train	3
RF03999	train	27
RF04001	train	14
RF04002	train	39
RF04003	train	3
RF04004	train	2
RF04006	train	10
RF04007	train	18
RF04008	train	1
RF04010	train	9
RF04011	train	24
RF04013	train	6
RF04014	train	38
RF04015	train	1
RF04016	train	3
RF04017	train	2
RF04018	train	52
RF04019	train	20
RF04020	train	1
RF04021	train	14093
RF04022	train	8
RF04023	train	1
RF04024	train	6
RF04025	val	2
RF04026	train	3
RF04027	train	22
RF04028	train	4
RF04029	train	21
RF04030	train	2
RF04031	train	2
RF04032	train	13267
RF04035	train	2
RF04036	train	31
RF04037	train	6
RF04038	train	20
RF04039	train	6
RF04040	train	3
RF04041	train	1
RF04042	train	2
RF04043	train	8
RF04044	train	16
RF04047	train	183
RF04048	train	6
RF04049	train	9
RF04050	train	9
RF04051	train	864
RF04052	train	23
RF04053	train	94
RF04054	train	68
RF04055	train	3
RF04056	train	7
RF04057	train	18
RF04059	train	16
RF04060	train	5
RF04061	train	18
RF04062	train	8
RF04063	train	560
RF04064	train	161
RF04065	train	368
RF04066	train	17
RF04067	train	362
RF04068	train	31
RF04069	train	137
RF04070	train	32
RF04071	train	23
RF04072	train	99
RF04073	train	44
RF04074	train	59
RF04075	train	4
RF04076	train	41
RF04077	train	61
RF04078	train	341
RF04079	train	20
RF04080	train	43
RF04081	train	9
RF04082	train	12
RF04083	train	39
RF04084	train	10
RF04085	train	88
RF04087	train	2103
RF04088	train	32849
RF04089	train	13
RF04090	train	38
RF04091	train	50
RF04092	train	14
RF04093	train	135
RF04094	train	7
RF04095	train	16
RF04096	train	312
RF04097	train	180
RF04098	train	2
RF04099	train	60
RF04100	train	38
RF04101	train	6
RF04102	train	35
RF04103	train	2
RF04104	train	7
RF04105	train	23
RF04106	train	26
RF04107	train	3
RF04108	train	61
RF04109	train	37
RF04110	train	77
RF04111	train	250
RF04112	train	23
RF04113	train	142
RF04114	train	140
RF04115	train	12
RF04116	train	6
RF04117	train	25
RF04118	train	27
RF04119	train	191
RF04120	train	22
RF04121	train	24
RF04122	train	14
RF04123	train	27
RF04124	train	442
RF04125	train	37
RF04126	train	65
RF04127	train	110
RF04128	train	50
RF04129	train	2
RF04130	train	380
RF04131	train	2
RF04132	train	114
RF04133	train	11
RF04134	train	5032
RF04135	train	7
RF04136	train	52
RF04137	train	2
RF04138	train	51
RF04139	train	37
RF04140	train	30
RF04141	train	66
RF04142	train	87
RF04143	train	4
RF04144	train	14
RF04145	train	66
RF04146	train	14
RF04147	train	19
RF04148	train	20
RF04149	train	4
RF04150	train	571
RF04151	train	41
RF04152	train	68
RF04153	train	3
RF04154	train	115
RF04155	train	240
RF04156	train	186
RF04157	train	35
RF04158	train	68
RF04159	train	99
RF04160	train	4
RF04161	train	111
RF04162	train	9
RF04163	train	2989
RF04164	train	338
RF04165	train	36
RF04166	train	10
RF04167	train	22
RF04168	train	3
RF04169	train	15
RF04170	train	3
RF04171	train	69
RF04172	train	133
RF04173	train	24
RF04174	train	19
RF04175	train	68
RF04176	train	52
RF04177	train	24
RF04178	train	11
RF04179	train	218
RF04180	train	90
RF04181	val	28
RF04182	train	81
RF04183	train	6283
RF04184	train	541
RF04185	train	14
RF04186	train	1
RF04187	train	7
RF04188	test	60
RF04189	val	82
RF04192	train	103
RF04193	train	6
RF04194	train	34
RF04195	train	2217
RF04196	train	2
RF04197	train	77
RF04198	train	171
RF04199	train	19
RF04200	test	156
RF04201	train	785
RF04202	train	40
RF04203	train	18
RF04204	train	1075
RF04205	train	157
RF04206	train	29
RF04207	train	7
RF04208	train	20
RF04209	train	47
RF04210	train	577
RF04211	train	82
RF04212	train	169
RF04213	train	6
RF04214	train	90
RF04215	train	149
RF04216	train	242
RF04217	train	50
RF04218	test	1
RF04219	val	1
RF04220	train	1
RF04221	test	1
RF04222	test	82
RF04223	train	745
RF04224	train	18313
RF04225	train	45879
RF04226	train	144
RF04227	val	441
RF04228	train	36
RF04229	train	177
RF04230	train	229
RF04231	train	20
RF04232	val	1
RF04233	train	225
RF04234	train	99
RF04235	train	29
RF04236	train	134
RF04237	train	4
RF04238	train	2
RF04239	train	331
RF04240	train	175
RF04241	train	77
RF04242	train	92
RF04243	train	10
RF04244	train	86
RF04245	train	9
RF04246	train	8
RF04247	train	560
RF04248	train	5884
RF04249	train	58
RF04250	train	45
RF04251	train	219
RF04252	train	95
RF04254	train	56
RF04255	train	95
RF04257	train	721
RF04258	train	18
RF04259	train	1
RF04260	train	7
RF04261	train	167
RF04262	train	32
RF04263	train	714
RF04264	train	2
RF04265	train	26
RF04266	val	128
RF04267	train	44
RF04268	train	17
RF04269	train	23
RF04270	train	38
RF04271	val	110
RF04272	train	159
RF04273	train	12
RF04274	train	14162
RF04275	train	103
RF04276	train	177
RF04277	train	5
RF04278	train	6
RF04279	train	15
RF04280	train	273
RF04281	train	27
RF04282	train	164
RF04283	train	11
RF04284	train	49
RF04285	train	53
RF04286	train	203
RF04287	train	433
RF04288	train	11
RF04289	train	27
RF04290	train	41
RF04291	train	174
RF04292	train	164
RF04293	train	35
RF04294	train	55
RF04295	train	180
RF04296	train	32
RF04297	train	24
RF04298	train	16
RF04299	train	46
RF04300	train	7
RF04301	train	1
RF04302	train	23
RF04303	train	31
RF04305	test	2
RF04306	train	2
RF04307	train	1
RF04308	test	1
RF04309	val	1
RF04310	test	14
